公司代號,公司名稱,當月營收,上月營收,上上月營收,上上上月營收,MOM,去年同期營收,YOY
程式執行時間,2021-08-04 00:31:36AM
,110年度,6月
2317,鴻海,"401,616,787","455,034,482","500,490,784","441,217,054",-11.74,"360,531,936",11.4
2321,東訊,"95,791","96,017","81,357","92,092",-0.24,"105,488",-9.19
2323,中環,"657,441","673,115","637,002","777,627",-2.33,"632,696",3.91
2324,仁寶,"91,440,133","80,201,551","89,350,327","108,148,060",14.01,"81,698,189",11.92
2327,國巨,"9,505,026","9,201,889","9,017,470","8,726,347",3.29,"4,539,758",109.37
2328,廣宇,"1,886,408","1,687,851","1,644,004","1,769,020",11.76,"1,570,275",20.13
2329,華泰,"1,373,990","1,406,100","1,368,280","1,430,899",-2.28,"1,091,784",25.85
2330,台積電,"148,470,660","112,359,668","111,314,794","129,127,388",32.14,"120,877,785",22.83
2331,精英,"2,830,469","2,358,385","2,244,933","2,271,753",20.02,"2,797,344",1.18
2332,友訊,"1,250,284","963,543","1,155,108","1,377,451",29.76,"1,338,950",-6.62
2337,旺宏,"3,609,143","4,006,487","3,810,816","3,608,192",-9.92,"3,007,319",20.01
2338,光罩,"519,735","492,410","479,967","423,009",5.55,"387,628",34.08
2340,光磊,"543,597","330,354","509,918","534,794",64.55,"511,694",6.23
2342,茂矽,"167,143","172,198","138,952","148,171",-2.94,"184,510",-9.41
2344,華邦電,"8,722,245","8,207,005","8,304,909","7,967,337",6.28,"4,130,594",111.16
2345,智邦,"4,517,191","4,911,263","4,624,529","5,190,400",-8.02,"4,790,580",-5.71
2347,聯強,"33,736,979","31,570,759","31,828,300","33,106,288",6.86,"28,806,382",17.12
2348,海悅,"339,116","328,232","423,915","426,526",3.32,"312,868",8.39
2349,錸德,"631,665","629,229","660,828","643,418",0.39,"502,398",25.73
2351,順德,"925,445","909,710","920,273","880,609",1.73,"685,014",35.1
2352,佳世達,"20,502,777","18,134,578","17,346,469","18,759,655",13.06,"15,463,532",32.59
2353,宏碁,"30,019,319","24,806,745","24,949,924","27,744,277",21.01,"25,673,362",16.93
2354,鴻準,"7,403,775","8,264,764","6,833,936","6,144,417",-10.42,"9,301,116",-20.4
2355,敬鵬,"1,489,295","1,412,390","1,406,327","1,620,374",5.45,"1,175,354",26.71
2356,英業達,"41,271,513","35,337,345","38,194,670","41,001,056",16.79,"53,408,509",-22.72
2357,華碩,"47,945,921","40,995,436","39,139,014","45,901,778",16.95,"39,365,234",21.8
2358,廷鑫,"279,628","136,839","162,805","164,262",104.35,"126,049",121.84
2359,所羅門,"276,230","346,509","330,294","374,943",-20.28,"268,528",2.87
2360,致茂,"1,602,002","1,382,221","1,461,163","1,476,345",15.9,"1,361,607",17.66
2362,藍天,"2,240,847","2,272,324","1,858,099","1,908,985",-1.39,"1,676,399",33.67
2363,矽統,"25,365","18,289","16,253","21,869",38.69,"8,673",192.46
2364,倫飛,"59,214","83,807","93,000","73,057",-29.34,"58,077",1.96
2365,昆盈,"89,936","59,041","87,361","165,596",52.33,"100,451",-10.47
2367,燿華,"906,504","925,657","1,027,439","1,103,001",-2.07,"791,769",14.49
2368,金像電,"2,028,098","2,222,799","2,128,600","2,164,805",-8.76,"1,944,573",4.3
2369,菱生,"687,660","654,970","651,712","642,876",4.99,"408,821",68.21
2371,大同,"2,427,273","2,764,705","2,218,017","2,288,969",-12.2,"2,746,946",-11.64
2373,震旦行,"1,135,872","1,054,769","1,204,461","1,152,001",7.69,"1,192,900",-4.78
2374,佳能,"215,346","226,347","258,395","245,838",-4.86,"266,937",-19.33
2375,凱美,"722,670","705,923","695,096","631,854",2.37,"364,367",98.34
